step,robot_x,robot_y,target_estimate_x,target_estimate_y,target_error,goal_error,beacon_position_rmse,beacon_yaw_rmse,cost,spread,sigma_min,excitation_norm2,retriggered,estimate_ready,sim_time,cmd_vx,cmd_vy,beacon_estimate_x,beacon_estimate_y,beacon_estimate_yaw
76,1.19123935,-0.73158435,1.20147137,-0.74858940,0.00203831,0.02039326,0.00320290,0.00086491,151.44026738,153.40885422,177.24002682,0.00019694,0,1,6.16000000,-0.00040904,-0.01440834,-2.19870347,-1.39707125,0.74913509
77,1.19120436,-0.73274434,1.20124542,-0.74869321,0.00180520,0.01936804,0.00324505,0.00093730,151.69489450,154.14980075,177.93827520,0.00018180,0,1,6.24000000,-0.00034023,-0.01381858,-2.19897146,-1.39692226,0.74906270
78,1.19117549,-0.73386398,1.20147841,-0.74879460,0.00190753,0.01839138,0.00330533,0.00090223,153.41962990,154.87296952,178.62721468,0.00016783,0,1,6.32000000,0.00028354,-0.01323703,-2.19890679,-1.39688069,0.74909777
79,1.19118321,-0.73493690,1.20143123,-0.74838078,0.00216109,0.01745373,0.00348884,0.00096155,156.12752991,155.57900164,179.29998578,0.00015492,0,1,6.40000000,0.00053702,-0.01205709,-2.19921637,-1.39660030,0.74903845
80,1.19122008,-0.73592979,1.20149478,-0.74884920,0.00188645,0.01658487,0.00319234,0.00096916,159.23781065,156.26852950,179.94244528,0.00014301,0,1,6.48000000,0.00089655,-0.01199676,-2.19903187,-1.39695800,0.74903084
81,1.19128318,-0.73689098,1.20106015,-0.74874845,0.00164021,0.01574260,0.00338765,0.00097851,161.15010787,156.94210405,180.58320147,0.00013202,0,1,6.56000000,0.00063344,-0.01125749,-2.19919702,-1.39670889,0.74902149
82,1.19134017,-0.73780932,1.20056447,-0.74864862,0.00146453,0.01495344,0.00375120,0.00110645,163.28821210,157.60030563,181.19732645,0.00012187,0,1,6.64000000,0.00030958,-0.01053785,-2.19977665,-1.39625546,0.74889355
83,1.19137271,-0.73866962,1.20120609,-0.74841174,0.00199429,0.01424106,0.00364770,0.00098289,165.22815586,158.24363960,181.81761363,0.00011250,0,1,6.72000000,0.00138368,-0.00969168,-2.19938058,-1.39640527,0.74901711
84,1.19145763,-0.73946526,1.20100378,-0.74853075,0.00177940,0.01356293,0.00379812,0.00116605,169.42168094,158.87254989,182.38983500,0.00010385,0,1,6.80000000,0.00138480,-0.00931955,-2.19995664,-1.39620212,0.74883395
85,1.19156838,-0.74021975,1.20052649,-0.74833954,0.00174193,0.01291299,0.00384601,0.00110926,172.88906774,159.48752717,182.97766374,0.00009586,0,1,6.88000000,0.00102637,-0.00859505,-2.19983901,-1.39615736,0.74889074
