step,robot_x,robot_y,target_estimate_x,target_estimate_y,target_error,goal_error,beacon_position_rmse,beacon_yaw_rmse,cost,spread,sigma_min,excitation_norm2,retriggered,estimate_ready,sim_time,cmd_vx,cmd_vy,beacon_estimate_x,beacon_estimate_y,beacon_estimate_yaw
51,1.19166070,-0.67497439,1.20383464,-0.74877849,0.00402449,0.07548766,0.00365465,0.00026589,102.40710392,125.32901761,150.93972152,0.00145523,0,1,4.16000000,0.00594153,-0.05141504,-2.19641577,-1.40071394,0.75026589
52,1.19216067,-0.67917339,1.20419078,-0.74903043,0.00430148,0.07125913,0.00392554,0.00033655,103.55048276,126.84064936,152.38771529,0.00134335,0,1,4.24000000,0.00482949,-0.04845808,-2.19616341,-1.40083094,0.75033655
53,1.19257372,-0.68312101,1.20470514,-0.74904758,0.00480057,0.06729004,0.00426744,0.00037135,104.54632583,128.30241433,153.78860543,0.00124007,0,1,4.32000000,0.00411059,-0.04548264,-2.19588514,-1.40113092,0.75037135
54,1.19300203,-0.68774068,1.20486330,-0.74872385,0.00502794,0.06265137,0.00454485,0.00044024,104.98447470,129.71659153,155.15636891,0.00114473,0,1,4.40000000,0.00303961,-0.04125139,-2.19563243,-1.40125700,0.75044024
55,1.19318869,-0.69023269,1.20504765,-0.74881621,0.00518461,0.06015418,0.00450428,0.00049100,107.60173297,131.08704432,156.47745694,0.00105672,0,1,4.48000000,0.00237862,-0.04003071,-2.19562415,-1.40106792,0.75049100
56,1.19339485,-0.69346444,1.20481812,-0.74898357,0.00492416,0.05692009,0.00371550,0.00027327,109.43006424,132.41219527,157.73883671,0.00097547,0,1,4.56000000,0.00128115,-0.03796902,-2.19636310,-1.40076017,0.75027327
57,1.19352368,-0.69655145,1.20470726,-0.74897076,0.00481846,0.05383949,0.00376595,0.00031884,110.13288923,133.69575756,158.97965643,0.00090047,0,1,4.64000000,0.00049763,-0.03582035,-2.19629664,-1.40068375,0.75031884
58,1.19358229,-0.69946864,1.20451921,-0.74929643,0.00457365,0.05093727,0.00374437,0.00027673,110.65625128,134.93958724,160.16951937,0.00083124,0,1,4.72000000,-0.00022016,-0.03423619,-2.19633893,-1.40078540,0.75027673
59,1.19357751,-0.70293028,1.20427661,-0.74876856,0.00445038,0.04750586,0.00426348,0.00047312,114.06046030,136.14537919,161.35589278,0.00076733,0,1,4.80000000,-0.00085777,-0.03092826,-2.19581838,-1.40083148,0.75047312
60,1.19352859,-0.70479921,1.20410156,-0.74901713,0.00421768,0.04566170,0.00429550,0.00041788,115.60032163,137.31587460,162.47493436,0.00070834,0,1,4.88000000,-0.00129618,-0.03041657,-2.19583119,-1.40103555,0.75041788
61,1.19343542,-0.70724481,1.20456812,-0.74891696,0.00469475,0.04325621,0.00425560,0.00039313,117.01464249,138.45026015,163.56637345,0.00065388,0,1,4.96000000,-0.00085057,-0.02874723,-2.19587843,-1.40105964,0.75039313
62,1.19335668,-0.70958466,1.20450510,-0.74878368,0.00466641,0.04095771,0.00397101,0.00036510,117.79931210,139.55116447,164.63032761,0.00060361,0,1,5.04000000,-0.00100085,-0.02711769,-2.19610962,-1.40079612,0.75036510
63,1.19328022,-0.71179318,1.20476004,-0.74855467,0.00497464,0.03879325,0.00401649,0.00045187,120.92369776,140.62007457,165.67246091,0.00055720,0,1,5.12000000,-0.00071930,-0.02548341,-2.19602522,-1.40057739,0.75045187
64,1.19321591,-0.71387108,1.20406394,-0.74861690,0.00429285,0.03676034,0.00303630,0.00021653,123.29206032,141.65832663,166.66002503,0.00051436,0,1,5.20000000,-0.00154433,-0.02430797,-2.19696371,-1.40000182,0.75021653
65,1.19311217,-0.71584392,1.20398675,-0.74836458,0.00430915,0.03484365,0.00344106,0.00030931,125.22873462,142.66718566,167.64185230,0.00047481,0,1,5.28000000,-0.00153368,-0.02283391,-2.19656953,-1.40026971,0.75030931
66,1.19298922,-0.71770601,1.20386168,-0.74829486,0.00422139,0.03304622,0.00336208,0.00026387,126.39348613,143.64780951,168.58335965,0.00043831,0,1,5.36000000,-0.00151522,-0.02166497,-2.19665318,-1.40031993,0.75026387
67,1.19286756,-0.71946727,1.20463123,-0.74818548,0.00497401,0.03135474,0.00359541,0.00036005,129.96876330,144.60130189,169.50827467,0.00040461,0,1,5.44000000,-0.00038587,-0.02052294,-2.19641799,-1.40031015,0.75036005
68,1.19280958,-0.72113651,1.20457181,-0.74836259,0.00485619,0.02974564,0.00384897,0.00043887,131.86781810,145.52873939,170.40393092,0.00037350,0,1,5.52000000,-0.00029195,-0.01978911,-2.19617111,-1.40039267,0.75043887
69,1.19278397,-0.72273725,1.20412278,-0.74841617,0.00441654,0.02820157,0.00363820,0.00035446,133.72564437,146.43122325,171.26449925,0.00034479,0,1,5.60000000,-0.00067168,-0.01894385,-2.19638300,-1.40039220,0.75035446
70,1.19272592,-0.72465192,1.20473545,-0.74830777,0.00502873,0.02637114,0.00451574,0.00054723,135.85244322,147.30978567,172.12116666,0.00031828,0,1,5.68000000,0.00029143,-0.01748278,-2.19558098,-1.40092959,0.75054723
71,1.19273955,-0.72570673,1.20501404,-0.74825412,0.00530930,0.02535502,0.00478939,0.00061422,136.08641623,148.16585843,172.94760965,0.00029381,0,1,5.76000000,0.00079474,-0.01707525,-2.19533121,-1.40106804,0.75061422
72,1.19279105,-0.72708254,1.20452449,-0.74890754,0.00465451,0.02402455,0.00453053,0.00053026,139.10547334,148.99929170,173.73026651,0.00027122,0,1,5.84000000,0.00035537,-0.01708787,-2.19558138,-1.40100074,0.75053026
73,1.19283003,-0.72844926,1.20449745,-0.74929753,0.00455198,0.02271217,0.00453717,0.00050056,140.00553426,149.81151367,174.49807755,0.00025037,0,1,5.92000000,0.00050809,-0.01675297,-2.19559797,-1.40109912,0.75050056
74,1.19286701,-0.72979754,1.20511553,-0.74919693,0.00517818,0.02142473,0.00504714,0.00060549,141.18183185,150.60337323,175.26256399,0.00023112,0,1,6.00000000,0.00145706,-0.01581013,-2.19515342,-1.40140864,0.75060549
75,1.19296080,-0.73108498,1.20522391,-0.74913553,0.00529496,0.02018238,0.00518862,0.00067648,142.50740978,151.37567265,176.00778692,0.00021335,0,1,6.08000000,0.00174372,-0.01494693,-2.19499636,-1.40137310,0.75067648
76,1.19309342,-0.73230145,1.20491308,-0.74958033,0.00493097,0.01899841,0.00483602,0.00053944,144.20815653,152.12918049,176.70689970,0.00019694,0,1,6.16000000,0.00149612,-0.01473695,-2.19535518,-1.40134636,0.75053944
77,1.19321905,-0.73348544,1.20504535,-0.74968828,0.00505497,0.01785250,0.00445684,0.00046612,146.25929569,152.86459159,177.39913587,0.00018180,0,1,6.24000000,0.00180207,-0.01412334,-2.19568142,-1.40110151,0.75046612
78,1.19335587,-0.73463004,1.20442087,-0.74979327,0.00442570,0.01674456,0.00404786,0.00036713,147.55753189,153.58256446,178.07283451,0.00016783,0,1,6.32000000,0.00119804,-0.01351618,-2.19605145,-1.40089115,0.75036713
79,1.19346621,-0.73572590,1.20443975,-0.74928845,0.00449641,0.01569842,0.00408399,0.00047434,153.50765773,154.28373419,178.75821552,0.00015492,0,1,6.40000000,0.00140764,-0.01219949,-2.19595876,-1.40058939,0.75047434
80,1.19357379,-0.73673346,1.20425971,-0.74951324,0.00428743,0.01474100,0.00389830,0.00038693,154.94170666,154.96865205,179.39414382,0.00014301,0,1,6.48000000,0.00139002,-0.01182920,-2.19615309,-1.40063094,0.75038693
81,1.19368542,-0.73768869,1.20496641,-0.74928717,0.00501731,0.01383627,0.00422429,0.00048519,157.25123042,155.63781664,180.03708067,0.00013202,0,1,6.56000000,0.00243827,-0.01094669,-2.19584184,-1.40074458,0.75048519
82,1.19385532,-0.73858560,1.20413069,-0.74978011,0.00413654,0.01296324,0.00328703,0.00025188,161.21865306,156.29175293,180.62729057,0.00012187,0,1,6.64000000,0.00157087,-0.01096410,-2.19672112,-1.40023137,0.75025188
83,1.19400181,-0.73946231,1.20350699,-0.74987754,0.00350913,0.01212523,0.00259624,0.00005388,164.55326400,156.93100775,181.20987132,0.00011250,0,1,6.72000000,0.00098984,-0.01049940,-2.19740563,-1.39990144,0.75005388
84,1.19409494,-0.74031342,1.20406369,-0.74973015,0.00407264,0.01134459,0.00271544,0.00008744,166.48302911,157.55606545,181.80022619,0.00010385,0,1,6.80000000,0.00189191,-0.00974103,-2.19728478,-1.39996587,0.75008744
85,1.19422464,-0.74111090,1.20409510,-0.74941339,0.00413690,0.01060051,0.00294630,0.00015330,167.83822777,158.16735107,182.38360032,0.00009586,0,1,6.88000000,0.00212119,-0.00881430,-2.19705479,-1.40008016,0.75015330
86,1.19438884,-0.74183828,1.20391509,-0.74942914,0.00395648,0.00990448,0.00338057,0.00025100,171.35100350,158.76532446,182.95129948,0.00008849,0,1,6.96000000,0.00205573,-0.00834234,-2.19664052,-1.40037707,0.75025100
87,1.19459598,-0.74268384,1.20346056,-0.74966440,0.00347680,0.00909558,0.00282143,0.00007713,174.13006252,159.35040256,183.47679322,0.00008169,0,1,7.04000000,0.00160868,-0.00796474,-2.19718455,-1.40018370,0.75007713
