step,robot_x,robot_y,target_estimate_x,target_estimate_y,target_error,goal_error,beacon_position_rmse,beacon_yaw_rmse,cost,spread,sigma_min,excitation_norm2,retriggered,sim_time,cmd_vx,cmd_vy,beacon_estimate_x,beacon_estimate_y,beacon_estimate_yaw
79,1.19665028,-0.74636220,1.20011948,-0.74906733,0.00094029,0.00494512,0.00284174,0.00046404,72.13987148,209.46752354,225.73715133,0.00032797,0,6.40000000,-0.00573612,-0.01841114,-2.20222362,-1.40176947,0.75046404
80,1.19601985,-0.74772951,1.20037984,-0.74903588,0.00103624,0.00458221,0.00271117,0.00050137,74.85420966,210.47075441,226.64761163,0.00030580,0,6.48000000,0.00299427,-0.01891094,-2.20172507,-1.40209155,0.75050137
81,1.19604987,-0.74923039,1.20056278,-0.74892923,0.00120966,0.00402441,0.00264296,0.00055174,75.02844608,211.44935465,227.53550790,0.00028512,0,6.56000000,0.01075413,-0.01565803,-2.20160409,-1.40210050,0.75055174
82,1.19672396,-0.75056111,1.20061508,-0.74896821,0.00120122,0.00332374,0.00259205,0.00062708,76.27316126,212.40545313,228.40223033,0.00026585,0,6.64000000,0.01603940,-0.00977479,-2.20116147,-1.40231726,0.75062708
83,1.19788027,-0.75148429,1.20047426,-0.74902127,0.00108758,0.00258774,0.00260305,0.00059065,76.54926281,213.34072635,229.23424389,0.00024787,0,6.72000000,0.01790708,-0.00242983,-2.20139045,-1.40220057,0.75059065
84,1.19926801,-0.75185495,1.20062017,-0.74889753,0.00126493,0.00199416,0.00263710,0.00056594,77.13162222,214.25626468,230.04904989,0.00023112,0,6.80000000,0.01674781,0.00508006,-2.20139909,-1.40223536,0.75056594
85,1.20063566,-0.75162879,1.19999140,-0.74936239,0.00063767,0.00174843,0.00283533,0.00040753,78.54808727,215.15256349,230.81931037,0.00021549,0,6.88000000,0.01173482,0.01040365,-2.20183340,-1.40216282,0.75040753
86,1.20169475,-0.75092426,1.20064592,-0.74924446,0.00099400,0.00193040,0.00279904,0.00043887,79.94453390,216.02965966,231.59439559,0.00020092,0,6.96000000,0.00638944,0.01395018,-2.20154248,-1.40233567,0.75043887
87,1.20233420,-0.74989336,1.20089396,-0.74959171,0.00098278,0.00233663,0.00284197,0.00040509,80.80817866,216.88726652,232.33200744,0.00018734,0,7.04000000,-0.00009101,0.01395090,-2.20157976,-1.40236245,0.75040509
88,1.20248245,-0.74877731,1.20100886,-0.74917481,0.00130336,0.00276722,0.00264274,0.00059205,83.41076497,217.72509430,233.09117512,0.00017467,0,7.12000000,-0.00605214,0.01202591,-2.20117598,-1.40236668,0.75059205
