step,robot_x,robot_y,target_estimate_x,target_estimate_y,target_error,goal_error,beacon_position_rmse,beacon_yaw_rmse,cost,spread,sigma_min,excitation_norm2,retriggered,estimate_ready,sim_time,cmd_vx,cmd_vy,beacon_estimate_x,beacon_estimate_y,beacon_estimate_yaw
35,1.13646757,-0.58284636,1.20492345,-0.74666363,0.00594741,0.17882033,0.00387467,0.00050552,86.71737961,79.64317369,128.58109483,0.00446008,0,1,4.08000000,0.10484598,-0.13377278,-2.19835471,-1.39649199,0.74949448
36,1.14285030,-0.59092831,1.20444207,-0.74727119,0.00521329,0.16902630,0.00397169,0.00081349,87.36616735,81.55695137,130.66877323,0.00411717,0,1,4.16000000,0.09353292,-0.12652039,-2.19931110,-1.39608851,0.74918651
37,1.15060445,-0.60122400,1.20312770,-0.74829560,0.00356195,0.15676166,0.00436491,0.00119798,88.61450245,83.40052895,132.66057751,0.00380063,0,1,4.24000000,0.07975648,-0.11714973,-2.20042628,-1.39565595,0.74880202
38,1.15731560,-0.61082088,1.20334302,-0.74784601,0.00397687,0.14557742,0.00376458,0.00076356,92.18887593,85.17647553,134.60225377,0.00350842,0,1,4.32000000,0.06924323,-0.10687902,-2.19893339,-1.39638968,0.74923644
39,1.16310738,-0.61961769,1.20310089,-0.74816896,0.00360114,0.13550133,0.00373404,0.00084725,92.36910262,86.88711151,136.43560623,0.00323868,0,1,4.40000000,0.05945430,-0.09851833,-2.19909220,-1.39637799,0.74915275
40,1.16928774,-0.62967018,1.20332581,-0.74843133,0.00367719,0.12418739,0.00377736,0.00089364,92.83277935,88.54031604,138.19362022,0.00298968,0,1,4.48000000,0.04992353,-0.08859425,-2.19925181,-1.39629748,0.74910636
41,1.17232128,-0.63502554,1.20413862,-0.74769364,0.00473788,0.11825920,0.00371788,0.00045025,95.01373093,90.12708946,139.90086479,0.00275982,0,1,4.56000000,0.04503250,-0.08311643,-2.19777773,-1.39701937,0.74954975
42,1.17694191,-0.64346865,1.20396984,-0.74769836,0.00458881,0.10899819,0.00367333,0.00051452,95.13865939,91.66001800,141.51694676,0.00254764,0,1,4.64000000,0.03721111,-0.07482814,-2.19796203,-1.39694385,0.74948548
43,1.17920586,-0.64799149,1.20382709,-0.74847643,0.00411921,0.10410635,0.00355369,0.00060326,96.50049984,93.13269055,143.04625699,0.00235177,0,1,4.72000000,0.03239516,-0.07217072,-2.19800116,-1.39706175,0.74939674
44,1.18256096,-0.65527234,1.20355929,-0.74755447,0.00431847,0.09631952,0.00373531,0.00042390,98.66054770,94.55537302,144.55438973,0.00217095,0,1,4.80000000,0.02626006,-0.06415717,-2.19769216,-1.39706292,0.74957610
