step,robot_x,robot_y,target_estimate_x,target_estimate_y,target_error,goal_error,beacon_position_rmse,beacon_yaw_rmse,cost,spread,sigma_min,excitation_norm2,retriggered,estimate_ready
93,1.19854110,-0.74765437,1.19914972,-0.74688454,0.00322940,0.00276232,0.36125134,0.10419558,217.36282873,0.04822596,4.29695714,0.00000000,0,1
94,1.19857977,-0.74758833,1.19894396,-0.74696653,0.00321204,0.00279878,0.34750136,0.10027066,218.52270147,0.04853996,4.31075323,0.00000000,0,1
95,1.19859980,-0.74752883,1.19878849,-0.74696845,0.00326467,0.00284029,0.35494814,0.10239849,218.85867591,0.04884545,4.32405685,0.00000000,0,1
96,1.19862445,-0.74748463,1.19885659,-0.74706845,0.00314665,0.00286692,0.35607864,0.10272140,219.24917097,0.04914339,4.33730371,0.00000000,0,1
97,1.19866045,-0.74741970,1.19899949,-0.74680828,0.00334486,0.00290729,0.36223840,0.10447672,222.28607120,0.04943399,4.35105912,0.00000000,0,1
98,1.19873956,-0.74739143,1.19948453,-0.74712516,0.00292069,0.00289713,0.33704094,0.09727971,224.64297292,0.04971694,4.36429500,0.00000000,0,1
99,1.19881922,-0.74740673,1.19956944,-0.74755081,0.00248675,0.00284944,0.31737073,0.09166191,226.64833951,0.04999141,4.37704439,0.00000000,0,1
100,1.19891192,-0.74744498,1.19978488,-0.74780511,0.00220540,0.00277706,0.28861673,0.08345217,228.47065656,0.05025801,4.38935742,0.00000000,0,1
101,1.19904239,-0.74747691,1.20027103,-0.74777760,0.00223886,0.00269870,0.29750475,0.08598633,230.91187753,0.05051676,4.40132718,0.00000000,0,1
102,1.19911420,-0.74752694,1.19979038,-0.74799802,0.00201293,0.00262692,0.29054072,0.08400138,232.83937582,0.05076672,4.41177507,0.00000000,0,1
103,1.19919834,-0.74757015,1.19999069,-0.74797711,0.00202292,0.00255867,0.28822352,0.08333668,233.91526387,0.05101007,4.42310909,0.00000000,0,1
104,1.19933312,-0.74760578,1.20060229,-0.74794123,0.00214506,0.00248536,0.28926048,0.08362862,236.58973629,0.05124662,4.43416798,0.00000000,0,1
105,1.19944449,-0.74764423,1.20049328,-0.74800631,0.00205381,0.00242038,0.29126683,0.08420453,237.73220613,0.05147502,4.44349117,0.00000000,0,1
106,1.19957867,-0.74765622,1.20084215,-0.74776917,0.00238450,0.00238135,0.29362752,0.08487536,239.41616175,0.05169626,4.45353470,0.00000000,0,1
107,1.19968721,-0.74768276,1.20070932,-0.74793267,0.00218563,0.00233825,0.28788236,0.08323599,240.03400230,0.05190969,4.46283035,0.00000000,0,1
108,1.19976781,-0.74772315,1.20052678,-0.74810340,0.00196840,0.00228866,0.27663295,0.08002649,241.02886682,0.05211639,4.47184326,0.00000000,0,1
109,1.19981863,-0.74780181,1.20029723,-0.74854258,0.00148742,0.00220566,0.26173495,0.07577739,243.91640586,0.05231744,4.48046742,0.00000000,0,1
