step,robot_x,robot_y,target_estimate_x,target_estimate_y,target_error,goal_error,beacon_position_rmse,beacon_yaw_rmse,cost,spread,sigma_min,excitation_norm2,retriggered,estimate_ready
69,1.19818929,-0.74742895,1.19751368,-0.74839047,0.00296182,0.00314468,0.34295194,0.09919032,169.59624586,0.03269994,3.54058391,0.00000000,0,1
70,1.19815783,-0.74754951,1.19786489,-0.74868428,0.00250795,0.00306570,0.31505088,0.09121562,170.26997907,0.03308421,3.56327316,0.00000000,0,1
71,1.19811821,-0.74764482,1.19774796,-0.74854185,0.00268289,0.00301463,0.31749426,0.09191310,170.77501599,0.03345991,3.58382169,0.00000000,0,1
72,1.19805117,-0.74772278,1.19742224,-0.74845652,0.00300452,0.00299728,0.33336140,0.09644998,171.40780528,0.03382749,3.60238821,0.00000000,0,1
73,1.19801830,-0.74777537,1.19771082,-0.74827028,0.00286919,0.00297928,0.33993080,0.09832467,172.35061805,0.03418815,3.62214511,0.00000000,0,1
74,1.19803332,-0.74780447,1.19817653,-0.74807824,0.00264918,0.00294757,0.34198882,0.09891440,175.66145573,0.03454073,3.64056140,0.00000000,0,1
75,1.19798079,-0.74783422,1.19748760,-0.74811416,0.00314142,0.00296104,0.34000818,0.09835093,177.44760961,0.03488363,3.65830343,0.00000000,0,1
76,1.19792965,-0.74784748,1.19744932,-0.74797208,0.00325860,0.00298659,0.32949676,0.09534405,179.63655944,0.03521963,3.67719093,0.00000000,0,1
77,1.19792666,-0.74787606,1.19789960,-0.74814499,0.00280227,0.00296814,0.31596876,0.09147908,182.51861912,0.03554880,3.69491867,0.00000000,0,1
78,1.19791051,-0.74787665,1.19775932,-0.74788214,0.00308317,0.00297902,0.33080935,0.09572337,183.76167531,0.03586988,3.71037704,0.00000000,0,1
79,1.19791205,-0.74791394,1.19792732,-0.74826494,0.00270305,0.00295147,0.32434746,0.09387735,185.84864397,0.03618339,3.72687487,0.00000000,0,1
80,1.19791019,-0.74797261,1.19789342,-0.74852492,0.00257169,0.00291163,0.32119002,0.09297558,186.64126590,0.03648933,3.74279121,0.00000000,0,1
81,1.19791374,-0.74807750,1.19794765,-0.74906513,0.00225524,0.00283699,0.28808622,0.08351404,188.19941344,0.03678829,3.76018700,0.00000000,0,1
82,1.19790999,-0.74812358,1.19787517,-0.74855743,0.00256825,0.00280876,0.30710039,0.08894758,189.89778036,0.03708074,3.77431246,0.00000000,0,1
83,1.19793636,-0.74818168,1.19818511,-0.74872873,0.00221584,0.00275044,0.28854357,0.08364192,190.64689557,0.03736667,3.79042002,0.00000000,0,1
84,1.19793457,-0.74818700,1.19791804,-0.74823703,0.00272812,0.00274827,0.35606502,0.10294320,197.08811978,0.03764546,3.80039228,0.00000000,0,1
85,1.19796138,-0.74820682,1.19821416,-0.74839343,0.00240215,0.00271504,0.32708426,0.09465991,199.60046691,0.03791778,3.81578225,0.00000000,0,1
86,1.19801043,-0.74816486,1.19847258,-0.74776968,0.00270321,0.00270668,0.34843978,0.10076154,202.73241000,0.03818311,3.82840743,0.00000000,0,1
87,1.19806839,-0.74808402,1.19861436,-0.74732272,0.00301460,0.00272068,0.37636212,0.10874658,206.00526587,0.03844047,3.83912573,0.00000000,0,1
88,1.19813644,-0.74802059,1.19877745,-0.74742328,0.00285204,0.00271863,0.37280889,0.10772794,206.91974006,0.03868956,3.85240685,0.00000000,0,1
89,1.19820522,-0.74800795,1.19885303,-0.74788885,0.00240261,0.00268133,0.35894557,0.10376619,209.30888278,0.03893050,3.86511584,0.00000000,0,1
90,1.19832863,-0.74799351,1.19949091,-0.74785751,0.00220214,0.00261142,0.35072611,0.10141174,211.84169957,0.03916397,3.87830065,0.00000000,0,1
91,1.19843124,-0.74793474,1.19939757,-0.74738133,0.00268707,0.00259352,0.37573183,0.10855953,213.44794550,0.03938862,3.88777901,0.00000000,0,1
92,1.19849864,-0.74784553,1.19913341,-0.74700544,0.00311743,0.00262599,0.41893254,0.12091279,216.95664223,0.03960504,3.89488914,0.00000000,0,1
93,1.19856801,-0.74776784,1.19922138,-0.74703624,0.00306433,0.00265201,0.41299928,0.11921675,217.21491139,0.03981426,3.90559692,0.00000000,0,1
94,1.19861044,-0.74770340,1.19901000,-0.74709662,0.00306752,0.00268426,0.40019923,0.11555926,218.36784161,0.04001657,3.91609870,0.00000000,0,1
95,1.19863400,-0.74764574,1.19885593,-0.74710275,0.00311495,0.00272186,0.40743290,0.11762799,218.70805605,0.04021303,3.92503229,0.00000000,0,1
96,1.19866166,-0.74760324,1.19892219,-0.74720302,0.00299746,0.00274511,0.40867653,0.11798354,219.09923879,0.04040438,3.93434025,0.00000000,0,1
97,1.19870086,-0.74754055,1.19907006,-0.74695017,0.00318846,0.00278149,0.41466462,0.11969229,222.13868367,0.04059078,3.94389664,0.00000000,0,1
98,1.19878170,-0.74751214,1.19954302,-0.74724462,0.00279302,0.00277014,0.39088985,0.11289552,224.48160225,0.04077195,3.95478929,0.00000000,0,1
99,1.19886174,-0.74752523,1.19961540,-0.74764854,0.00238270,0.00272399,0.37234383,0.10759433,226.47777979,0.04094720,3.96499412,0.00000000,0,1
