step,robot_x,robot_y,target_estimate_x,target_estimate_y,target_error,goal_error,beacon_position_rmse,beacon_yaw_rmse,cost,spread,sigma_min,excitation_norm2,retriggered,estimate_ready
94,1.19861981,-0.74874459,1.19944309,-0.74833590,0.00175482,0.00186574,0.00555485,0.00183384,218.86695389,130.15455057,181.94885401,0.00000000,0,1
95,1.19868632,-0.74870980,1.19931266,-0.74838220,0.00175775,0.00184130,0.00564808,0.00184782,219.25392630,130.52144242,182.22850566,0.00000000,0,1
96,1.19875421,-0.74868616,1.19939352,-0.74846354,0.00165182,0.00181057,0.00565540,0.00184281,219.65739124,130.88072641,182.50296280,0.00000000,0,1
97,1.19883062,-0.74863279,1.19955014,-0.74813023,0.00192313,0.00179909,0.00534072,0.00168708,222.73071336,131.23264737,182.79141439,0.00000000,0,1
98,1.19893978,-0.74859845,1.19996762,-0.74827506,0.00172524,0.00175739,0.00523442,0.00170239,224.94413390,131.57741667,183.05206869,0.00000000,0,1
99,1.19904322,-0.74859741,1.20001728,-0.74858770,0.00141240,0.00169785,0.00511461,0.00169611,226.84712754,131.91529435,183.30759874,0.00000000,0,1
100,1.19914855,-0.74860705,1.20014043,-0.74869781,0.00130974,0.00163257,0.00500998,0.00172328,228.53416020,132.24650600,183.55645160,0.00000000,0,1
101,1.19929448,-0.74860691,1.20066865,-0.74860554,0.00154648,0.00156156,0.00485472,0.00160886,231.01771946,132.57125890,183.81196220,0.00000000,0,1
102,1.19937846,-0.74863232,1.20016931,-0.74887158,0.00114105,0.00150229,0.00499928,0.00170567,232.91707099,132.88977169,184.03830506,0.00000000,0,1
103,1.19947342,-0.74864599,1.20036757,-0.74877479,0.00127916,0.00145280,0.00482855,0.00161578,233.98426938,133.20219026,184.28243930,0.00000000,0,1
104,1.19961893,-0.74864503,1.20098916,-0.74863592,0.00168498,0.00140754,0.00467365,0.00150681,236.66216412,133.50869176,184.52252519,0.00000000,0,1
105,1.19974034,-0.74865456,1.20088362,-0.74874430,0.00153543,0.00137027,0.00480052,0.00158256,237.81846912,133.80947824,184.73472107,0.00000000,0,1
106,1.19988310,-0.74863469,1.20122741,-0.74844766,0.00197896,0.00137030,0.00470584,0.00150801,239.51181128,134.10469829,184.96279084,0.00000000,0,1
107,1.19999840,-0.74863112,1.20108417,-0.74859749,0.00177270,0.00136888,0.00469705,0.00151941,240.10683877,134.39450611,185.17384475,0.00000000,0,1
108,1.20008197,-0.74864201,1.20086893,-0.74874456,0.00152682,0.00136046,0.00468276,0.00154740,241.05713423,134.67904018,185.37935872,0.00000000,0,1
109,1.20013258,-0.74869177,1.20060920,-0.74916033,0.00103739,0.00131493,0.00468946,0.00160338,243.88866747,134.95842918,185.57512371,0.00000000,0,1
110,1.20021783,-0.74870304,1.20102061,-0.74880914,0.00156838,0.00131513,0.00460194,0.00152407,246.52576511,135.23281202,185.78583593,0.00000000,0,1
111,1.20028784,-0.74871303,1.20094702,-0.74880716,0.00152306,0.00131876,0.00460890,0.00148726,247.40950081,135.50232702,185.98386489,0.00000000,0,1
112,1.20035800,-0.74868007,1.20101873,-0.74836969,0.00192242,0.00136762,0.00471409,0.00144067,251.88621911,135.76709157,186.17889330,0.00000000,0,1
113,1.20042545,-0.74863419,1.20106054,-0.74820208,0.00208741,0.00143054,0.00475956,0.00140809,252.91063248,136.02720464,186.36839426,0.00000000,0,1
114,1.20051970,-0.74861448,1.20140724,-0.74842895,0.00210915,0.00147978,0.00470257,0.00142786,255.51702352,136.28277835,186.54907933,0.00000000,0,1
115,1.20061285,-0.74861548,1.20149003,-0.74862485,0.00202762,0.00151410,0.00462331,0.00145198,257.18205092,136.53396836,186.72745151,0.00000000,0,1
116,1.20072691,-0.74860611,1.20180100,-0.74851794,0.00233240,0.00157204,0.00458351,0.00138474,258.29930432,136.78090002,186.91075864,0.00000000,0,1
117,1.20083230,-0.74856535,1.20182471,-0.74818147,0.00257616,0.00165860,0.00459082,0.00127646,261.09374818,137.02369220,187.09521557,0.00000000,0,1
118,1.20093600,-0.74851917,1.20191253,-0.74808432,0.00270695,0.00175184,0.00460077,0.00121170,262.36822092,137.26242445,187.27025497,0.00000000,0,1
119,1.20101011,-0.74849311,1.20170800,-0.74824768,0.00244702,0.00181413,0.00467035,0.00129962,263.60620780,137.49719462,187.42395740,0.00000000,0,1
120,1.20109831,-0.74846762,1.20192877,-0.74822762,0.00261945,0.00188533,0.00475212,0.00138441,268.61988254,137.72809172,187.57580900,0.00000000,0,1
