step,robot_x,robot_y,target_estimate_x,target_estimate_y,target_error,goal_error,beacon_position_rmse,beacon_yaw_rmse,cost,spread,sigma_min,excitation_norm2,retriggered,estimate_ready
63,1.19364911,-0.75160280,1.19653725,-0.75105072,0.00361865,0.00655002,0.00172850,0.00035126,125.38604909,12.59970495,113.64706130,0.00000000,0,1
64,1.19389530,-0.75150729,1.19622267,-0.75061877,0.00382767,0.00628802,0.00233400,0.00062717,126.49642540,12.67824933,113.90329596,0.00000000,0,1
65,1.19413659,-0.75143723,1.19641671,-0.75078639,0.00366857,0.00603699,0.00161413,0.00042454,130.82610634,12.75450795,114.24562151,0.00000000,0,1
66,1.19438642,-0.75134091,1.19674618,-0.75044124,0.00328360,0.00577151,0.00213406,0.00061035,134.52348360,12.82858313,114.47060879,0.00000000,0,1
67,1.19459801,-0.75130316,1.19659670,-0.75095378,0.00353442,0.00555696,0.00169151,0.00030163,136.21603744,12.90057635,114.72183535,0.00000000,0,1
68,1.19479848,-0.75131372,1.19669186,-0.75141808,0.00359927,0.00536485,0.00106835,0.00003313,137.70276629,12.97056163,115.00504056,0.00000000,0,1
69,1.19505293,-0.75132569,1.19745383,-0.75144245,0.00292637,0.00512162,0.00072565,0.00003583,139.78293970,13.03862228,115.27797573,0.00000000,0,1
70,1.19527103,-0.75130853,1.19732914,-0.75115024,0.00290801,0.00490666,0.00110650,0.00010371,140.68515458,13.10486843,115.48690128,0.00000000,0,1
71,1.19557172,-0.75129114,1.19840692,-0.75113009,0.00195321,0.00461267,0.00056095,0.00005093,144.70309860,13.16935762,115.75498495,0.00000000,0,1
72,1.19585583,-0.75126385,1.19853452,-0.75100909,0.00177930,0.00433260,0.00036873,0.00009522,146.87640979,13.23220416,116.01691314,0.00000000,0,1
73,1.19618242,-0.75118643,1.19926057,-0.75045909,0.00087035,0.00399769,0.00063637,0.00001603,151.49527446,13.29346726,116.23003236,0.00000000,0,1
74,1.19645553,-0.75109843,1.19902981,-0.75027122,0.00100738,0.00371077,0.00065577,0.00003871,152.29957236,13.35323026,116.42590595,0.00000000,0,1
75,1.19678224,-0.75099816,1.19986096,-0.75005502,0.00014953,0.00336902,0.00127975,0.00027232,156.41721185,13.41152744,116.64936664,0.00000000,0,1
76,1.19708609,-0.75091862,1.19994915,-0.75017050,0.00017792,0.00305528,0.00101068,0.00007690,157.42505925,13.46844181,116.87730657,0.00000000,0,1
77,1.19735051,-0.75086342,1.19984213,-0.75034430,0.00037877,0.00278663,0.00129538,0.00024881,159.76908909,13.52401740,117.05649445,0.00000000,0,1
78,1.19763519,-0.75081496,1.20031734,-0.75035917,0.00047928,0.00250129,0.00091521,0.00009408,163.39204029,13.57828842,117.24044924,0.00000000,0,1
79,1.19791307,-0.75079376,1.20053096,-0.75059455,0.00079712,0.00223279,0.00082573,0.00001109,164.11919601,13.63131398,117.43725850,0.00000000,0,1
