step,robot_x,robot_y,target_estimate_x,target_estimate_y,target_error,goal_error,beacon_position_rmse,beacon_yaw_rmse,cost,spread,sigma_min,excitation_norm2,retriggered,estimate_ready
54,1.22147054,-0.69063851,1.20027537,-0.75228118,0.00229775,0.06312504,0.09252193,0.02518872,131.91886941,0.27268288,8.60220468,0.00019694,0,1
55,1.21917999,-0.69566820,1.20124415,-0.75231072,0.00262438,0.05761785,0.10393888,0.02834223,133.65104498,0.28056534,8.77229762,0.00014301,0,1
56,1.21724881,-0.70050404,1.20244234,-0.75383248,0.00454455,0.05241538,0.13725576,0.03754891,136.50342886,0.28882266,8.95104883,0.00010385,0,1
57,1.21529782,-0.70479708,1.20004230,-0.75175438,0.00175489,0.04772135,0.07102896,0.01923818,144.24462181,0.29741991,9.11115733,0.00007541,0,1
58,1.21344957,-0.70870109,1.19889938,-0.75093005,0.00144096,0.04343376,0.04608286,0.01234752,146.31029402,0.30635491,9.28385179,0.00005476,0,1
59,1.21172977,-0.71232716,1.19813324,-0.75104020,0.00213701,0.03945669,0.03966051,0.01056228,147.60806887,0.31560436,9.45980479,0.00003976,0,1
60,1.21029576,-0.71571065,1.19914493,-0.75138177,0.00162494,0.03580171,0.05440061,0.01464632,148.89396498,0.32514245,9.64351829,0.00002887,0,1
61,1.20900698,-0.71884327,1.19899137,-0.75151448,0.00181961,0.03243251,0.05873129,0.01583332,149.42751752,0.33491446,9.82312114,0.00002097,0,1
62,1.20792225,-0.72168795,1.19961076,-0.75111192,0.00117808,0.02939956,0.06456720,0.01747494,153.04566878,0.34488594,10.00681144,0.00001522,0,1
63,1.20701093,-0.72442657,1.20013073,-0.75240207,0.00240562,0.02651704,0.09435337,0.02571378,154.75081576,0.35500550,10.19120773,0.00001106,0,1
64,1.20609300,-0.72685189,1.19896517,-0.75150045,0.00182269,0.02393658,0.05722131,0.01542704,158.82245147,0.36524345,10.35780283,0.00000803,0,1
65,1.20530009,-0.72910555,1.19918009,-0.75182254,0.00199847,0.02155618,0.05149439,0.01384406,163.15739927,0.37557783,10.53043278,0.00000583,0,1
66,1.20468434,-0.73126754,1.20007865,-0.75285812,0.00285921,0.01930927,0.08613926,0.02344682,165.99344435,0.38597718,10.71201384,0.00000423,0,1
67,1.20416508,-0.73324654,1.20032875,-0.75289450,0.00291311,0.01726344,0.08099680,0.02203420,167.81119305,0.39640954,10.88051344,0.00000307,0,1
68,1.20364910,-0.73498440,1.19971829,-0.75217915,0.00219728,0.01545264,0.06107337,0.01651827,168.80134990,0.40684607,11.04035398,0.00000223,0,1
69,1.20313109,-0.73650044,1.19906896,-0.75145476,0.00172719,0.01385791,0.04683145,0.01256963,170.25694746,0.41726591,11.19747655,0.00000162,0,1
70,1.20272357,-0.73791466,1.19960163,-0.75178444,0.00182836,0.01238843,0.05802876,0.01567734,170.73380241,0.42765019,11.36006247,0.00000118,0,1
71,1.20234318,-0.73918018,1.19938747,-0.75154578,0.00166272,0.01107064,0.05470588,0.01476266,171.27939355,0.43797529,11.51445917,0.00000085,0,1
